,Bajra(Pearl Millet/Cumbu),Barley(Jau),Foxtail Millet(Navane),Jowar(Sorghum),Kodo Millet(Varagu),Kutki,Maize,Paddy(Basmati),Paddy(Common),Ragi(Finger Millet),Rice,Wheat
2026-03-29,2361.9722,2096.0017,3403.3127,3081.1814,2357.719,3260.7427,2091.9937,2986.7808,2284.5906,3383.4976,3348.3247,2466.2292
2026-03-30,2361.4548,2100.2654,3363.2224,3077.5942,2347.4692,3258.9834,2090.99,2974.6414,2279.317,3392.04,3348.5593,2467.6123
2026-03-31,2361.285,2102.6165,3338.129,3073.5662,2340.921,3254.663,2090.8975,2964.908,2276.539,3394.3892,3348.54,2469.0632
2026-04-01,2361.2876,2104.3704,3319.3552,3069.287,2335.47,3248.8477,2091.1877,2956.538,2274.6123,3394.4639,3348.5864,2470.5586
2026-04-02,2361.5764,2107.1023,3293.5366,3062.999,2326.9048,3236.8452,2091.8594,2946.159,2271.9983,3394.3352,3348.6934,2472.796
2026-04-03,2362.4868,2111.9429,3257.3225,3057.9768,2315.8513,3222.3755,2092.402,2934.5032,2268.391,3397.473,3348.3801,2475.656
2026-04-04,2363.1887,2116.7856,3222.6357,3054.174,2309.6995,3214.3489,2092.3926,2925.2705,2264.8027,3403.1401,3348.5432,2477.4358
