,,,,,All Type of Report (All Grades) for 01-Jan-2025 to 28-Mar-2026,,,,
Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2025 to 28-03-2026,Arrival Unit,Min Price 01-01-2025 to 28-03-2026,Modal Price 01-01-2025 to 28-03-2026,Max Price 01-01-2025 to 28-03-2026,Price Unit
Cereals,Ragi(Finger Millet),14-03-2025,4886.00,253.18,Metric Tonnes,2742.35,3003.46,3104.93,Rs./Quintal
Cereals,Rice,14-03-2025,-,7591.10,Metric Tonnes,2296.54,3583.64,3795.65,Rs./Quintal
Cereals,Same/Savi,14-03-2025,-,10.00,Metric Tonnes,3300.00,3300.00,3300.00,Rs./Quintal
Cereals,Wheat,14-03-2025,2425.00,2935.95,Metric Tonnes,2765.37,2842.39,2890.65,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),15-03-2025,2775.00,587.91,Metric Tonnes,2451.01,2621.01,2754.49,Rs./Quintal
Cereals,Barley(Jau),15-03-2025,1980.00,1855.88,Metric Tonnes,1861.02,2026.22,2086.70,Rs./Quintal
Cereals,Foxtail Millet(Navane),15-03-2025,-,20.40,Metric Tonnes,1939.00,3629.00,3629.00,Rs./Quintal
Cereals,Jowar(Sorghum),15-03-2025,3699.00,1061.92,Metric Tonnes,2521.29,3281.91,3933.12,Rs./Quintal
Cereals,Maize,15-03-2025,2400.00,3810.41,Metric Tonnes,1941.13,2243.30,2125.86,Rs./Quintal
Cereals,Paddy(Basmati),15-03-2025,-,1372.20,Metric Tonnes,2491.57,2734.70,2857.57,Rs./Quintal
Cereals,Paddy(Common),15-03-2025,2369.00,13356.43,Metric Tonnes,2200.56,2341.47,2427.44,Rs./Quintal
Cereals,Ragi(Finger Millet),15-03-2025,4886.00,247.20,Metric Tonnes,2362.63,3058.44,3725.74,Rs./Quintal
Cereals,Rice,15-03-2025,-,6637.02,Metric Tonnes,3250.76,3522.51,3797.92,Rs./Quintal
Cereals,Same/Savi,15-03-2025,-,120.00,Metric Tonnes,3400.00,3400.00,3400.00,Rs./Quintal
Cereals,Wheat,15-03-2025,2425.00,49175.53,Metric Tonnes,2438.87,2671.73,2853.94,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),16-03-2025,2775.00,138.16,Metric Tonnes,2307.55,2378.37,2508.71,Rs./Quintal
Cereals,Barley(Jau),16-03-2025,1980.00,427.70,Metric Tonnes,1993.71,2058.11,2119.73,Rs./Quintal
Cereals,Jowar(Sorghum),16-03-2025,3699.00,2574.50,Metric Tonnes,2013.38,2020.87,2122.95,Rs./Quintal
Cereals,Kodo Millet(Varagu),16-03-2025,-,19.00,Metric Tonnes,2100.00,2100.00,2100.00,Rs./Quintal
Cereals,Kutki,16-03-2025,-,7.20,Metric Tonnes,3200.00,3210.00,3210.00,Rs./Quintal
Cereals,Maize,16-03-2025,2400.00,4031.21,Metric Tonnes,2046.06,2284.90,2319.94,Rs./Quintal
Cereals,Paddy(Basmati),16-03-2025,-,1433.50,Metric Tonnes,2580.47,2856.42,2991.60,Rs./Quintal
Cereals,Paddy(Common),16-03-2025,2369.00,7649.14,Metric Tonnes,2260.10,2390.06,2515.14,Rs./Quintal
Cereals,Rice,16-03-2025,-,3602.40,Metric Tonnes,3551.41,3648.31,3750.71,Rs./Quintal
Cereals,Wheat,16-03-2025,2425.00,12543.45,Metric Tonnes,2457.29,2577.11,3131.77,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),17-03-2025,2775.00,1267.52,Metric Tonnes,2378.48,2498.21,2599.08,Rs./Quintal
Cereals,Barley(Jau),17-03-2025,1980.00,4575.26,Metric Tonnes,1937.81,2017.20,2085.55,Rs./Quintal
Cereals,Foxtail Millet(Navane),17-03-2025,-,19.10,Metric Tonnes,1874.20,2298.75,2639.90,Rs./Quintal
Cereals,Jowar(Sorghum),17-03-2025,3699.00,2749.09,Metric Tonnes,2432.81,2974.21,3415.67,Rs./Quintal
Cereals,Kutki,17-03-2025,-,3.00,Metric Tonnes,3200.00,3200.00,3200.00,Rs./Quintal
Cereals,Maize,17-03-2025,2400.00,11791.77,Metric Tonnes,2051.41,2182.86,2240.61,Rs./Quintal
Cereals,Paddy(Basmati),17-03-2025,-,3102.60,Metric Tonnes,2636.17,2873.53,3010.57,Rs./Quintal
Cereals,Paddy(Common),17-03-2025,2369.00,30288.46,Metric Tonnes,2161.63,2383.17,2517.15,Rs./Quintal
Cereals,Ragi(Finger Millet),17-03-2025,4886.00,523.34,Metric Tonnes,2777.89,3026.09,3148.30,Rs./Quintal
Cereals,Rice,17-03-2025,-,11194.40,Metric Tonnes,3223.27,3338.67,3470.14,Rs./Quintal
Cereals,Same/Savi,17-03-2025,-,26.00,Metric Tonnes,2800.00,2800.00,2800.00,Rs./Quintal
Cereals,Wheat,17-03-2025,2425.00,160590.00,Metric Tonnes,2322.51,2542.52,2763.75,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),18-03-2025,2775.00,1398.44,Metric Tonnes,2362.12,2514.41,2625.01,Rs./Quintal
Cereals,Barley(Jau),18-03-2025,1980.00,3653.90,Metric Tonnes,1917.18,1996.21,2059.63,Rs./Quintal
Cereals,Foxtail Millet(Navane),18-03-2025,-,9.80,Metric Tonnes,1809.00,2139.00,2719.00,Rs./Quintal
Cereals,Jowar(Sorghum),18-03-2025,3699.00,2012.67,Metric Tonnes,2411.15,3059.81,3495.13,Rs./Quintal
Cereals,Kodo Millet(Varagu),18-03-2025,-,119.37,Metric Tonnes,2238.14,2271.57,2271.85,Rs./Quintal
Cereals,Kutki,18-03-2025,-,39.70,Metric Tonnes,2999.00,3500.00,3501.00,Rs./Quintal
Cereals,Maize,18-03-2025,2400.00,9265.55,Metric Tonnes,1920.32,2180.23,2137.09,Rs./Quintal
Cereals,Paddy(Basmati),18-03-2025,-,2650.20,Metric Tonnes,2586.20,2941.08,3045.65,Rs./Quintal
Cereals,Paddy(Common),18-03-2025,2369.00,31349.36,Metric Tonnes,2155.09,2414.32,2520.51,Rs./Quintal
Cereals,Ragi(Finger Millet),18-03-2025,4886.00,298.86,Metric Tonnes,525.94,3039.20,629.01,Rs./Quintal
Cereals,Rice,18-03-2025,-,11498.85,Metric Tonnes,3165.19,3323.29,3498.45,Rs./Quintal
Cereals,Wheat,18-03-2025,2425.00,132498.71,Metric Tonnes,2339.04,2539.35,2725.29,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),19-03-2025,2775.00,1681.85,Metric Tonnes,2346.01,2443.90,2521.86,Rs./Quintal
Cereals,Barley(Jau),19-03-2025,1980.00,4012.45,Metric Tonnes,1910.98,1996.57,2062.89,Rs./Quintal
Cereals,Foxtail Millet(Navane),19-03-2025,-,17.70,Metric Tonnes,1463.00,2196.00,2669.00,Rs./Quintal
Cereals,Jowar(Sorghum),19-03-2025,3699.00,1395.02,Metric Tonnes,2445.49,3018.79,3560.45,Rs./Quintal
Cereals,Kodo Millet(Varagu),19-03-2025,-,65.68,Metric Tonnes,2299.15,2299.92,2319.37,Rs./Quintal
Cereals,Kutki,19-03-2025,-,2.00,Metric Tonnes,3125.00,3125.00,3125.00,Rs./Quintal
Cereals,Maize,19-03-2025,2400.00,7683.68,Metric Tonnes,2113.10,2236.70,2301.48,Rs./Quintal
Cereals,Paddy(Basmati),19-03-2025,-,2534.60,Metric Tonnes,2707.18,3015.43,3144.15,Rs./Quintal
Cereals,Paddy(Common),19-03-2025,2369.00,34933.21,Metric Tonnes,2199.87,2352.02,2471.26,Rs./Quintal
Cereals,Ragi(Finger Millet),19-03-2025,4886.00,448.48,Metric Tonnes,2627.85,2993.37,3230.32,Rs./Quintal
Cereals,Rice,19-03-2025,-,13376.45,Metric Tonnes,3192.98,3332.92,3531.59,Rs./Quintal
Cereals,Wheat,19-03-2025,2425.00,57476.90,Metric Tonnes,2421.11,2590.80,2748.85,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),20-03-2025,2775.00,2237.50,Metric Tonnes,2349.88,2453.58,2568.03,Rs./Quintal
Cereals,Barley(Jau),20-03-2025,1980.00,4062.97,Metric Tonnes,1903.23,1990.53,2047.61,Rs./Quintal
Cereals,Foxtail Millet(Navane),20-03-2025,-,20.10,Metric Tonnes,1809.00,1843.00,2409.00,Rs./Quintal
Cereals,Jowar(Sorghum),20-03-2025,3699.00,1962.11,Metric Tonnes,2503.05,3055.79,3594.83,Rs./Quintal
Cereals,Kodo Millet(Varagu),20-03-2025,-,170.75,Metric Tonnes,2219.55,2220.33,2231.30,Rs./Quintal
Cereals,Kutki,20-03-2025,-,3.41,Metric Tonnes,3000.00,3000.00,3000.00,Rs./Quintal
Cereals,Maize,20-03-2025,2400.00,16239.75,Metric Tonnes,1866.07,2240.34,2252.03,Rs./Quintal
Cereals,Paddy(Basmati),20-03-2025,-,1994.50,Metric Tonnes,2641.22,2979.79,3086.78,Rs./Quintal
Cereals,Paddy(Common),20-03-2025,2369.00,43832.68,Metric Tonnes,2141.31,2427.62,2526.83,Rs./Quintal
Cereals,Ragi(Finger Millet),20-03-2025,4886.00,259.27,Metric Tonnes,753.21,2541.94,933.18,Rs./Quintal
Cereals,Rice,20-03-2025,-,16819.90,Metric Tonnes,3313.29,3392.72,3481.76,Rs./Quintal
Cereals,Wheat,20-03-2025,2425.00,164551.49,Metric Tonnes,2311.86,2534.30,2776.94,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),21-03-2025,2775.00,2391.58,Metric Tonnes,2353.46,2436.88,2522.80,Rs./Quintal
Cereals,Barley(Jau),21-03-2025,1980.00,5517.34,Metric Tonnes,1887.21,1986.42,2063.47,Rs./Quintal
Cereals,Foxtail Millet(Navane),21-03-2025,-,20.10,Metric Tonnes,1501.71,2106.06,2449.10,Rs./Quintal
Cereals,Jowar(Sorghum),21-03-2025,3699.00,2833.33,Metric Tonnes,2429.99,2756.07,3081.84,Rs./Quintal
Cereals,Kodo Millet(Varagu),21-03-2025,-,135.41,Metric Tonnes,2179.83,2199.39,2199.39,Rs./Quintal
Cereals,Kutki,21-03-2025,-,62.52,Metric Tonnes,2652.30,2928.58,3082.30,Rs./Quintal
Cereals,Maize,21-03-2025,2400.00,15529.23,Metric Tonnes,2007.30,2163.84,2242.04,Rs./Quintal
Cereals,Paddy(Basmati),21-03-2025,-,3642.70,Metric Tonnes,2558.93,2895.69,2976.78,Rs./Quintal
Cereals,Paddy(Common),21-03-2025,2369.00,45315.50,Metric Tonnes,2077.24,2414.24,2581.97,Rs./Quintal
Cereals,Ragi(Finger Millet),21-03-2025,4886.00,585.06,Metric Tonnes,2809.82,3211.46,3414.67,Rs./Quintal
Cereals,Rice,21-03-2025,-,22720.47,Metric Tonnes,3205.68,3514.31,3854.74,Rs./Quintal
Cereals,Wheat,21-03-2025,2425.00,187462.85,Metric Tonnes,2325.49,2535.63,2756.77,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),22-03-2025,2775.00,1752.23,Metric Tonnes,2349.59,2437.50,2565.44,Rs./Quintal
Cereals,Barley(Jau),22-03-2025,1980.00,4726.51,Metric Tonnes,1851.65,1949.29,2049.50,Rs./Quintal
Cereals,Jowar(Sorghum),22-03-2025,3699.00,2843.29,Metric Tonnes,2249.84,2549.54,2859.78,Rs./Quintal
Cereals,Kodo Millet(Varagu),22-03-2025,-,59.28,Metric Tonnes,2320.04,2372.06,2372.06,Rs./Quintal
Cereals,Kutki,22-03-2025,-,28.60,Metric Tonnes,3110.24,3140.16,3140.16,Rs./Quintal
Cereals,Maize,22-03-2025,2400.00,8406.63,Metric Tonnes,1973.73,2120.61,2326.04,Rs./Quintal
Cereals,Paddy(Basmati),22-03-2025,-,2118.10,Metric Tonnes,2601.96,2823.16,2974.65,Rs./Quintal
Cereals,Paddy(Common),22-03-2025,2369.00,28944.35,Metric Tonnes,2202.26,2389.35,2517.18,Rs./Quintal
Cereals,Ragi(Finger Millet),22-03-2025,4886.00,89.30,Metric Tonnes,2822.98,2996.74,3125.66,Rs./Quintal
Cereals,Rice,22-03-2025,-,16081.92,Metric Tonnes,3137.36,3399.19,3605.63,Rs./Quintal
Cereals,Wheat,22-03-2025,2425.00,78304.58,Metric Tonnes,2397.98,2551.97,2700.76,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),23-03-2025,2775.00,711.90,Metric Tonnes,2267.23,2322.49,2437.67,Rs./Quintal
Cereals,Barley(Jau),23-03-2025,1980.00,957.51,Metric Tonnes,1962.79,2048.47,2129.50,Rs./Quintal
Cereals,Jowar(Sorghum),23-03-2025,3699.00,1133.10,Metric Tonnes,2025.82,2046.50,2058.09,Rs./Quintal
Cereals,Kodo Millet(Varagu),23-03-2025,-,31.13,Metric Tonnes,2200.00,2201.00,2201.00,Rs./Quintal
Cereals,Maize,23-03-2025,2400.00,5114.00,Metric Tonnes,2090.80,2163.36,2229.02,Rs./Quintal
Cereals,Paddy(Basmati),23-03-2025,-,1394.60,Metric Tonnes,2545.39,2796.97,2887.97,Rs./Quintal
Cereals,Paddy(Common),23-03-2025,2369.00,12600.79,Metric Tonnes,2252.30,2408.36,2562.83,Rs./Quintal
Cereals,Rice,23-03-2025,-,7289.05,Metric Tonnes,3000.91,3317.63,3565.47,Rs./Quintal
Cereals,Same/Savi,23-03-2025,-,24.50,Metric Tonnes,2200.00,2200.00,2200.00,Rs./Quintal
Cereals,Wheat,23-03-2025,2425.00,22561.15,Metric Tonnes,2404.90,2525.82,2622.60,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),24-03-2025,2775.00,1886.90,Metric Tonnes,2369.85,2492.86,2584.41,Rs./Quintal
Cereals,Barley(Jau),24-03-2025,1980.00,7393.47,Metric Tonnes,1846.07,1978.46,2055.91,Rs./Quintal
Cereals,Foxtail Millet(Navane),24-03-2025,-,37.40,Metric Tonnes,2069.52,2557.56,2841.35,Rs./Quintal
Cereals,Jowar(Sorghum),24-03-2025,3699.00,2920.28,Metric Tonnes,2423.91,2910.35,3486.18,Rs./Quintal
Cereals,Kodo Millet(Varagu),24-03-2025,-,72.00,Metric Tonnes,2215.28,2216.50,2216.50,Rs./Quintal
Cereals,Kutki,24-03-2025,-,5.20,Metric Tonnes,3003.85,3003.85,3003.85,Rs./Quintal
Cereals,Maize,24-03-2025,2400.00,22091.01,Metric Tonnes,1851.14,2106.78,2149.19,Rs./Quintal
Cereals,Paddy(Basmati),24-03-2025,-,2224.00,Metric Tonnes,2500.43,2748.45,2886.62,Rs./Quintal
Cereals,Paddy(Common),24-03-2025,2369.00,57654.11,Metric Tonnes,2055.68,2365.38,2457.84,Rs./Quintal
Cereals,Ragi(Finger Millet),24-03-2025,4886.00,628.78,Metric Tonnes,522.85,3233.01,758.69,Rs./Quintal
Cereals,Rice,24-03-2025,-,15893.41,Metric Tonnes,3145.59,3403.04,3646.77,Rs./Quintal
Cereals,Same/Savi,24-03-2025,-,31.00,Metric Tonnes,3200.00,3200.00,3200.00,Rs./Quintal
Cereals,Wheat,24-03-2025,2425.00,220547.87,Metric Tonnes,2315.75,2526.99,2775.64,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),25-03-2025,2775.00,1650.19,Metric Tonnes,2373.81,2493.87,2596.36,Rs./Quintal
Cereals,Barley(Jau),25-03-2025,1980.00,7208.01,Metric Tonnes,1860.91,1964.93,2021.06,Rs./Quintal
Cereals,Foxtail Millet(Navane),25-03-2025,-,15.70,Metric Tonnes,1513.00,1970.00,2519.00,Rs./Quintal
Cereals,Jaee,25-03-2025,-,3.56,Metric Tonnes,2324.00,2324.00,2324.00,Rs./Quintal
Cereals,Jowar(Sorghum),25-03-2025,3699.00,3249.74,Metric Tonnes,2373.62,2815.05,3187.37,Rs./Quintal
Cereals,Kodo Millet(Varagu),25-03-2025,-,78.57,Metric Tonnes,2240.00,2240.00,2240.00,Rs./Quintal
Cereals,Maize,25-03-2025,2400.00,18323.55,Metric Tonnes,1935.04,2112.44,2207.14,Rs./Quintal
Cereals,Paddy(Basmati),25-03-2025,-,2473.30,Metric Tonnes,2511.49,2814.31,2926.74,Rs./Quintal
Cereals,Paddy(Common),25-03-2025,2369.00,39554.80,Metric Tonnes,2115.10,2370.31,2492.45,Rs./Quintal
Cereals,Ragi(Finger Millet),25-03-2025,4886.00,462.90,Metric Tonnes,2750.91,3227.51,3501.90,Rs./Quintal
Cereals,Rice,25-03-2025,-,15890.66,Metric Tonnes,3093.27,3272.01,3503.35,Rs./Quintal
Cereals,Wheat,25-03-2025,2425.00,175746.47,Metric Tonnes,2316.01,2496.11,2707.71,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),26-03-2025,2775.00,1973.14,Metric Tonnes,2371.25,2504.33,2631.15,Rs./Quintal
Cereals,Barley(Jau),26-03-2025,1980.00,7638.96,Metric Tonnes,1862.47,1971.36,2039.12,Rs./Quintal
Cereals,Foxtail Millet(Navane),26-03-2025,-,35.10,Metric Tonnes,2426.16,2519.94,2649.00,Rs./Quintal
Cereals,Jowar(Sorghum),26-03-2025,3699.00,3058.26,Metric Tonnes,2235.89,2531.05,2905.91,Rs./Quintal
Cereals,Kodo Millet(Varagu),26-03-2025,-,145.64,Metric Tonnes,2202.43,2216.88,2218.42,Rs./Quintal
Cereals,Kutki,26-03-2025,-,18.60,Metric Tonnes,3100.00,3200.00,3200.00,Rs./Quintal
Cereals,Maize,26-03-2025,2400.00,20449.83,Metric Tonnes,1871.35,2173.22,2087.01,Rs./Quintal
Cereals,Paddy(Basmati),26-03-2025,-,2809.00,Metric Tonnes,2423.67,2671.17,2778.72,Rs./Quintal
Cereals,Paddy(Common),26-03-2025,2369.00,47850.12,Metric Tonnes,2128.66,2391.57,2491.69,Rs./Quintal
Cereals,Ragi(Finger Millet),26-03-2025,4886.00,268.45,Metric Tonnes,2129.51,2947.12,2939.46,Rs./Quintal
Cereals,Rice,26-03-2025,-,15023.53,Metric Tonnes,3196.85,3379.24,3567.08,Rs./Quintal
Cereals,Wheat,26-03-2025,2425.00,186879.82,Metric Tonnes,2298.26,2481.46,2669.92,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),27-03-2025,2775.00,1870.13,Metric Tonnes,2324.26,2456.51,2574.54,Rs./Quintal
Cereals,Barley(Jau),27-03-2025,1980.00,8865.23,Metric Tonnes,1825.45,1946.77,2015.75,Rs./Quintal
Cereals,Foxtail Millet(Navane),27-03-2025,-,28.80,Metric Tonnes,1472.48,1759.17,2694.52,Rs./Quintal
Cereals,Jowar(Sorghum),27-03-2025,3699.00,1971.90,Metric Tonnes,2340.27,2821.44,3260.91,Rs./Quintal
Cereals,Kodo Millet(Varagu),27-03-2025,-,47.85,Metric Tonnes,2114.41,2119.14,2119.14,Rs./Quintal
Cereals,Kutki,27-03-2025,-,34.40,Metric Tonnes,3117.44,3117.44,3130.52,Rs./Quintal
Cereals,Maize,27-03-2025,2400.00,38527.37,Metric Tonnes,1911.37,2141.35,2219.22,Rs./Quintal
Cereals,Paddy(Basmati),27-03-2025,-,2284.30,Metric Tonnes,2486.25,2752.47,2888.18,Rs./Quintal
Cereals,Paddy(Common),27-03-2025,2369.00,46531.68,Metric Tonnes,2107.59,2357.82,2462.67,Rs./Quintal
Cereals,Ragi(Finger Millet),27-03-2025,4886.00,304.04,Metric Tonnes,2387.71,2923.70,3065.40,Rs./Quintal
Cereals,Rice,27-03-2025,-,15474.66,Metric Tonnes,3139.45,3276.22,3446.46,Rs./Quintal
Cereals,Wheat,27-03-2025,2425.00,174267.74,Metric Tonnes,2342.61,2506.41,2716.51,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),28-03-2025,2775.00,2284.74,Metric Tonnes,2310.03,2400.24,2589.24,Rs./Quintal
Cereals,Barley(Jau),28-03-2025,1980.00,8658.75,Metric Tonnes,1822.53,1932.52,2004.35,Rs./Quintal
Cereals,Foxtail Millet(Navane),28-03-2025,-,18.00,Metric Tonnes,2600.00,2600.00,2600.00,Rs./Quintal
Cereals,Jowar(Sorghum),28-03-2025,3699.00,2471.30,Metric Tonnes,2250.28,2806.97,3243.26,Rs./Quintal
Cereals,Kodo Millet(Varagu),28-03-2025,-,155.33,Metric Tonnes,2213.74,2250.36,2262.03,Rs./Quintal
Cereals,Kutki,28-03-2025,-,30.00,Metric Tonnes,3000.00,3150.00,3150.00,Rs./Quintal
Cereals,Maize,28-03-2025,2400.00,17983.54,Metric Tonnes,1931.37,2139.01,2216.43,Rs./Quintal
Cereals,Paddy(Basmati),28-03-2025,-,3743.20,Metric Tonnes,2392.59,2526.84,2668.21,Rs./Quintal
Cereals,Paddy(Common),28-03-2025,2369.00,44490.19,Metric Tonnes,2125.31,2334.41,2429.53,Rs./Quintal
Cereals,Ragi(Finger Millet),28-03-2025,4886.00,202.01,Metric Tonnes,1922.13,2935.78,3075.33,Rs./Quintal
Cereals,Rice,28-03-2025,-,18648.40,Metric Tonnes,3228.26,3382.40,3536.48,Rs./Quintal
Cereals,Same/Savi,28-03-2025,-,25.20,Metric Tonnes,2603.17,2604.76,2607.14,Rs./Quintal
Cereals,Wheat,28-03-2025,2425.00,114181.09,Metric Tonnes,2380.06,2514.47,2747.18,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),29-03-2025,2775.00,1154.91,Metric Tonnes,2339.75,2415.03,2474.54,Rs./Quintal
Cereals,Barley(Jau),29-03-2025,1980.00,8195.80,Metric Tonnes,1861.45,1971.03,2032.31,Rs./Quintal
Cereals,Foxtail Millet(Navane),29-03-2025,-,12.00,Metric Tonnes,6000.00,6117.00,6300.00,Rs./Quintal
Cereals,Jowar(Sorghum),29-03-2025,3699.00,1327.83,Metric Tonnes,2296.11,2469.21,2590.04,Rs./Quintal
Cereals,Kodo Millet(Varagu),29-03-2025,-,66.20,Metric Tonnes,2200.00,2245.62,2245.62,Rs./Quintal
Cereals,Kutki,29-03-2025,-,44.70,Metric Tonnes,3000.00,3100.00,3150.00,Rs./Quintal
Cereals,Maize,29-03-2025,2400.00,13141.19,Metric Tonnes,1978.33,2179.65,2287.90,Rs./Quintal
Cereals,Paddy(Basmati),29-03-2025,-,2493.30,Metric Tonnes,2508.44,2686.54,2799.65,Rs./Quintal
Cereals,Paddy(Common),29-03-2025,2369.00,38626.29,Metric Tonnes,2178.51,2323.84,2412.68,Rs./Quintal
Cereals,Ragi(Finger Millet),29-03-2025,4886.00,366.30,Metric Tonnes,1429.86,2850.68,2986.84,Rs./Quintal
Cereals,Rice,29-03-2025,-,13366.90,Metric Tonnes,3236.84,3391.14,3558.06,Rs./Quintal
Cereals,Same/Savi,29-03-2025,-,18.00,Metric Tonnes,4300.00,4300.00,4300.00,Rs./Quintal
Cereals,Wheat,29-03-2025,2425.00,94350.58,Metric Tonnes,2399.21,2498.77,2610.96,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),30-03-2025,2775.00,210.70,Metric Tonnes,2262.75,2315.10,2356.69,Rs./Quintal
Cereals,Barley(Jau),30-03-2025,1980.00,791.60,Metric Tonnes,1864.43,1945.98,2052.32,Rs./Quintal
Cereals,Jowar(Sorghum),30-03-2025,3699.00,304.20,Metric Tonnes,2005.52,2009.66,2013.35,Rs./Quintal
Cereals,Kodo Millet(Varagu),30-03-2025,-,29.50,Metric Tonnes,2250.00,2300.00,2325.00,Rs./Quintal
Cereals,Maize,30-03-2025,2400.00,4254.11,Metric Tonnes,2064.86,2122.51,2166.88,Rs./Quintal
Cereals,Paddy(Basmati),30-03-2025,-,3015.00,Metric Tonnes,2457.16,2503.12,2543.92,Rs./Quintal
Cereals,Paddy(Common),30-03-2025,2369.00,7776.08,Metric Tonnes,2221.01,2251.22,2276.17,Rs./Quintal
Cereals,Rice,30-03-2025,-,8361.01,Metric Tonnes,2244.52,3275.15,3474.85,Rs./Quintal
Cereals,Wheat,30-03-2025,2425.00,14413.68,Metric Tonnes,2432.21,2496.80,2553.06,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),31-03-2025,2775.00,1177.00,Metric Tonnes,2363.23,2473.68,2547.74,Rs./Quintal
Cereals,Barley(Jau),31-03-2025,1980.00,8842.16,Metric Tonnes,1850.82,1957.64,2054.77,Rs./Quintal
Cereals,Jowar(Sorghum),31-03-2025,3699.00,802.23,Metric Tonnes,2707.75,3366.40,3845.88,Rs./Quintal
Cereals,Kodo Millet(Varagu),31-03-2025,-,6.30,Metric Tonnes,2100.00,2300.00,2300.00,Rs./Quintal
Cereals,Kutki,31-03-2025,-,54.90,Metric Tonnes,4592.62,4685.60,4774.04,Rs./Quintal
Cereals,Maize,31-03-2025,2400.00,6733.91,Metric Tonnes,1982.29,2156.12,2199.54,Rs./Quintal
Cereals,Paddy(Basmati),31-03-2025,-,1931.70,Metric Tonnes,2475.86,2623.56,2752.40,Rs./Quintal
Cereals,Paddy(Common),31-03-2025,2369.00,29565.99,Metric Tonnes,2174.45,2248.87,2310.54,Rs./Quintal
Cereals,Ragi(Finger Millet),31-03-2025,4886.00,0.20,Metric Tonnes,4500.00,4750.00,5000.00,Rs./Quintal
Cereals,Rice,31-03-2025,-,10266.17,Metric Tonnes,3205.06,3299.88,3396.84,Rs./Quintal
Cereals,Wheat,31-03-2025,2425.00,61811.01,Metric Tonnes,2385.18,2516.74,2595.97,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),01-04-2025,2775.00,1196.55,Metric Tonnes,2329.15,2414.61,2502.71,Rs./Quintal
Cereals,Barley(Jau),01-04-2025,1980.00,20646.92,Metric Tonnes,1786.86,1927.34,2071.62,Rs./Quintal
Cereals,Hybrid Cumbu,01-04-2025,-,0.30,Metric Tonnes,4000.00,5000.00,6000.00,Rs./Quintal
Cereals,Jowar(Sorghum),01-04-2025,3699.00,1592.73,Metric Tonnes,2451.07,2874.65,3482.81,Rs./Quintal
Cereals,Kodo Millet(Varagu),01-04-2025,-,6.65,Metric Tonnes,2462.00,2462.00,2462.00,Rs./Quintal
Cereals,Maize,01-04-2025,2400.00,7723.64,Metric Tonnes,2094.99,2206.01,2259.96,Rs./Quintal
Cereals,Paddy(Basmati),01-04-2025,-,1833.50,Metric Tonnes,2566.26,2747.60,2861.71,Rs./Quintal
Cereals,Paddy(Common),01-04-2025,2369.00,17790.08,Metric Tonnes,2071.82,2248.37,2370.54,Rs./Quintal
Cereals,Ragi(Finger Millet),01-04-2025,4886.00,335.82,Metric Tonnes,3711.65,3720.43,3729.26,Rs./Quintal
Cereals,Rice,01-04-2025,-,10750.64,Metric Tonnes,3260.20,3343.96,3451.80,Rs./Quintal
Cereals,Wheat,01-04-2025,2425.00,98588.88,Metric Tonnes,2388.94,2508.88,2742.99,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),02-04-2025,2775.00,1477.10,Metric Tonnes,2407.36,2507.34,2599.94,Rs./Quintal
Cereals,Barley(Jau),02-04-2025,1980.00,20798.24,Metric Tonnes,1814.10,1952.85,2067.53,Rs./Quintal
Cereals,Foxtail Millet(Navane),02-04-2025,-,0.30,Metric Tonnes,1839.00,1839.00,1839.00,Rs./Quintal
Cereals,Jowar(Sorghum),02-04-2025,3699.00,2676.56,Metric Tonnes,2242.93,2646.75,3060.97,Rs./Quintal
Cereals,Kodo Millet(Varagu),02-04-2025,-,20.08,Metric Tonnes,2211.04,2227.59,2227.59,Rs./Quintal
Cereals,Kutki,02-04-2025,-,3.03,Metric Tonnes,3196.00,3196.00,3196.00,Rs./Quintal
Cereals,Maize,02-04-2025,2400.00,15401.92,Metric Tonnes,1839.28,2045.90,2252.01,Rs./Quintal
Cereals,Paddy(Basmati),02-04-2025,-,1496.60,Metric Tonnes,2481.61,2694.71,2805.13,Rs./Quintal
Cereals,Paddy(Common),02-04-2025,2369.00,26794.89,Metric Tonnes,2072.39,2356.91,2468.64,Rs./Quintal
