,,,,,All Type of Report (All Grades) for 01-Jan-2025 to 28-Mar-2026,,,,
Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2025 to 28-03-2026,Arrival Unit,Min Price 01-01-2025 to 28-03-2026,Modal Price 01-01-2025 to 28-03-2026,Max Price 01-01-2025 to 28-03-2026,Price Unit
Cereals,Rice,04-01-2025,-,23837.36,Metric Tonnes,3226.11,3379.62,3580.86,Rs./Quintal
Cereals,Same/Savi,04-01-2025,-,20.00,Metric Tonnes,1200.00,1200.00,1200.00,Rs./Quintal
Cereals,Wheat,04-01-2025,2425.00,26974.17,Metric Tonnes,2756.91,2897.52,2991.18,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),05-01-2025,2775.00,350.16,Metric Tonnes,2399.80,2514.25,2663.53,Rs./Quintal
Cereals,Barley(Jau),05-01-2025,1980.00,126.30,Metric Tonnes,2226.05,2316.45,2350.79,Rs./Quintal
Cereals,Foxtail Millet(Navane),05-01-2025,-,12.00,Metric Tonnes,2940.00,2940.00,2940.00,Rs./Quintal
Cereals,Jowar(Sorghum),05-01-2025,3699.00,33.70,Metric Tonnes,2135.67,2388.46,2789.75,Rs./Quintal
Cereals,Kodo Millet(Varagu),05-01-2025,-,152.90,Metric Tonnes,2086.36,2205.80,2205.80,Rs./Quintal
Cereals,Kutki,05-01-2025,-,25.38,Metric Tonnes,3126.71,3126.71,3149.25,Rs./Quintal
Cereals,Maize,05-01-2025,2400.00,6700.66,Metric Tonnes,2161.41,2264.35,2316.89,Rs./Quintal
Cereals,Paddy(Basmati),05-01-2025,-,1815.30,Metric Tonnes,2662.96,2953.87,3086.64,Rs./Quintal
Cereals,Paddy(Common),05-01-2025,2369.00,22731.22,Metric Tonnes,2330.85,2495.54,2586.77,Rs./Quintal
Cereals,Ragi(Finger Millet),05-01-2025,4886.00,46.00,Metric Tonnes,3100.00,3100.00,3100.00,Rs./Quintal
Cereals,Rice,05-01-2025,-,5581.30,Metric Tonnes,3291.07,3344.19,3411.45,Rs./Quintal
Cereals,Same/Savi,05-01-2025,-,5.20,Metric Tonnes,1200.00,1200.00,1200.00,Rs./Quintal
Cereals,Wheat,05-01-2025,2425.00,4559.18,Metric Tonnes,2756.68,2806.61,2845.78,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),06-01-2025,2775.00,2617.06,Metric Tonnes,2509.86,2602.03,2671.90,Rs./Quintal
Cereals,Barley(Jau),06-01-2025,1980.00,323.01,Metric Tonnes,2396.62,2437.48,2476.12,Rs./Quintal
Cereals,Foxtail Millet(Navane),06-01-2025,-,6.30,Metric Tonnes,2329.00,2461.00,3189.00,Rs./Quintal
Cereals,Jowar(Sorghum),06-01-2025,3699.00,966.10,Metric Tonnes,2451.60,3265.61,3721.24,Rs./Quintal
Cereals,Kodo Millet(Varagu),06-01-2025,-,255.14,Metric Tonnes,2165.24,2233.77,2257.34,Rs./Quintal
Cereals,Kutki,06-01-2025,-,43.86,Metric Tonnes,3100.36,3116.88,3116.88,Rs./Quintal
